S:32 E:1 B:32 
hits:541 misses:254 evictions222
hits:541 misses:255 evictions223
hits:542 misses:255 evictions223
hits:543 misses:255 evictions223
hits:544 misses:255 evictions223
hits:545 misses:255 evictions223
hits:546 misses:255 evictions223
hits:546 misses:256 evictions224
hits:546 misses:257 evictions225
hits:547 misses:257 evictions225
hits:547 misses:258 evictions226
hits:548 misses:258 evictions226
hits:549 misses:258 evictions226
hits:550 misses:258 evictions226
hits:550 misses:259 evictions227
hits:550 misses:260 evictions228
hits:551 misses:260 evictions228
hits:552 misses:260 evictions228
hits:552 misses:261 evictions229
hits:553 misses:261 evictions229
hits:554 misses:261 evictions229
hits:554 misses:262 evictions230
hits:555 misses:262 evictions230
hits:555 misses:263 evictions231
hits:556 misses:263 evictions231
hits:556 misses:264 evictions232
hits:556 misses:265 evictions233
hits:556 misses:266 evictions234
hits:557 misses:266 evictions234
hits:557 misses:267 evictions235
hits:558 misses:267 evictions235
hits:558 misses:268 evictions236
hits:558 misses:269 evictions237
hits:558 misses:270 evictions238
hits:559 misses:270 evictions238
hits:559 misses:271 evictions239
hits:560 misses:271 evictions239
hits:561 misses:271 evictions239
hits:562 misses:271 evictions239
hits:563 misses:271 evictions239
hits:563 misses:272 evictions240
hits:563 misses:273 evictions241
hits:564 misses:273 evictions241
hits:564 misses:274 evictions242
hits:565 misses:274 evictions242
hits:565 misses:275 evictions243
hits:566 misses:275 evictions243
hits:567 misses:275 evictions243
hits:567 misses:276 evictions244
hits:567 misses:277 evictions245
hits:567 misses:278 evictions246
hits:567 misses:279 evictions247
hits:567 misses:280 evictions248
hits:567 misses:281 evictions249
hits:568 misses:281 evictions249
hits:569 misses:281 evictions249
hits:569 misses:282 evictions250
hits:570 misses:282 evictions250
hits:571 misses:282 evictions250
hits:572 misses:282 evictions250
hits:572 misses:283 evictions251
hits:572 misses:284 evictions252
hits:573 misses:284 evictions252
hits:574 misses:284 evictions252
hits:575 misses:284 evictions252
hits:575 misses:285 evictions253
hits:576 misses:285 evictions253
hits:576 misses:286 evictions254
hits:577 misses:286 evictions254
hits:578 misses:286 evictions254
hits:579 misses:286 evictions254
hits:579 misses:287 evictions255
hits:579 misses:288 evictions256
hits:580 misses:288 evictions256
hits:581 misses:288 evictions256
hits:581 misses:289 evictions257
hits:581 misses:290 evictions258
hits:582 misses:290 evictions258
hits:583 misses:290 evictions258
hits:583 misses:291 evictions259
hits:584 misses:291 evictions259
hits:585 misses:291 evictions259
hits:586 misses:291 evictions259
hits:587 misses:291 evictions259
hits:588 misses:291 evictions259
hits:589 misses:291 evictions259
hits:589 misses:292 evictions260
hits:589 misses:293 evictions261
hits:589 misses:294 evictions262
hits:590 misses:294 evictions262
hits:591 misses:294 evictions262
hits:591 misses:295 evictions263
hits:592 misses:295 evictions263
hits:593 misses:295 evictions263
hits:594 misses:295 evictions263
hits:595 misses:295 evictions263
hits:596 misses:295 evictions263
hits:596 misses:296 evictions264
hits:596 misses:297 evictions265
hits:596 misses:298 evictions266
hits:597 misses:298 evictions266
hits:597 misses:299 evictions267
hits:597 misses:300 evictions268
hits:598 misses:300 evictions268
hits:598 misses:301 evictions269
hits:598 misses:302 evictions270
hits:599 misses:302 evictions270
hits:599 misses:303 evictions271
hits:600 misses:303 evictions271
hits:600 misses:304 evictions272
hits:601 misses:304 evictions272
hits:601 misses:305 evictions273
hits:602 misses:305 evictions273
hits:602 misses:306 evictions274
hits:603 misses:306 evictions274
hits:603 misses:307 evictions275
hits:604 misses:307 evictions275
hits:604 misses:308 evictions276
hits:605 misses:308 evictions276
hits:605 misses:309 evictions277
hits:605 misses:310 evictions278
hits:606 misses:310 evictions278
hits:606 misses:311 evictions279
hits:606 misses:312 evictions280
hits:607 misses:312 evictions280
hits:607 misses:313 evictions281
hits:608 misses:313 evictions281
hits:608 misses:314 evictions282
hits:608 misses:315 evictions283
hits:609 misses:315 evictions283
hits:610 misses:315 evictions283
hits:611 misses:315 evictions283
hits:611 misses:316 evictions284
